Ticker,Name,Market Cap,GICS Sector,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,Cntry Terrtry Of Dom,Security
CVGW US Equity,CALAVO GROWERS INC,"490878981,61","30,00",Consumer Staples,Retail & Wholesale - Staples,Wholesale - Consumer Staples,Food & Beverage Wholesalers,Fresh Fruit & Vegetable Whslrs,US,Calavo Growers Inc
TPG US Equity,TPG INC,"23598061248,65","40,00",Financials,Financial Services,Asset Management,Investment Management,#N/A N/A,US,TPG Inc
SGRY US Equity,SURGERY PARTNERS INC,"2883429601,56","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Facilities,#N/A N/A,US,Surgery Partners Inc
ABBV US Equity,ABBVIE INC,"364917951260,87","35,00",Health Care,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A,US,AbbVie Inc
COHU US Equity,COHU INC,"935033341,34","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Mfg,Back End Capital Equipment,US,Cohu Inc
CLMT US Equity,CALUMET INC,"1147731949,96","10,00",Materials,Materials,Chemicals,Specialty Chemicals,#N/A N/A,US,Calumet Inc
CRAQ US Equity,CAL REDWOOD ACQUISIT-CL A,"314198777,00",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Cal Redwood Acquisition Corp
ACHC US Equity,ACADIA HEALTHCARE CO INC,"1951283411,46","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Facilities,Psych & Substance Abuse Hosp,US,Acadia Healthcare Co Inc
TENB US Equity,TENABLE HOLDINGS INC,"3657067823,99","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,#N/A N/A,US,Tenable Holdings Inc
GTLB US Equity,GITLAB INC-CL A,"7491819747,92","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,Gitlab Inc
APLD US Equity,APPLIED DIGITAL CORP,"4273233473,86","45,00",Communications,Telecommunications,Telecommunications,Wireline Telecommunications,Data Centers,US,Applied Digital Corp
AMWD US Equity,AMERICAN WOODMARK CORP,"915743214,93","20,00",Consumer Discretionary,Consumer Discretionary Products,Home Construction,Building Products,Cabinets & Countertops,US,American Woodmark Corp
ANIP US Equity,ANI PHARMACEUTICALS INC,"1946674325,69","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,US,ANI Pharmaceuticals Inc
CADL US Equity,CANDEL THERAPEUTICS INC,"327174792,13","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Candel Therapeutics Inc
WGS US Equity,GENEDX HOLDINGS CORP,"3616634667,03","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Health Care Testing Services,US,GeneDx Holdings Corp
OCUL US Equity,OCULAR THERAPEUTIX INC,"2141881243,52","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,US,Ocular Therapeutix Inc
SBET US Equity,SHARPLINK GAMING INC,"3397598628,60","25,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,Sharplink Gaming Inc
NSIT US Equity,INSIGHT ENTERPRISES INC,"4151624712,30","45,00",Technology,Software & Tech Services,IT Services,IT Services,#N/A N/A,US,Insight Enterprises Inc
MU US Equity,MICRON TECHNOLOGY INC,"138267909643,85","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Memory ICs,US,Micron Technology Inc
ZYME US Equity,ZYMEWORKS INC,"1056085068,14","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Zymeworks Inc
VBTX US Equity,VERITEX HOLDINGS INC,"1761712538,68","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Veritex Holdings Inc
BATRA US Equity,ATLANTA BRAVES HOLDINGS IN-A,"2785629809,37","50,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Entertainment Facilities,Pro Sports & Related Activities,US,Atlanta Braves Holdings Inc
ALMU US Equity,AELUMA INC,"283320878,02","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,#N/A N/A,US,Aeluma Inc
BEAG US Equity,BOLD EAGLE ACQUISITION COR-A,"593550136,58",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Bold Eagle Acquisition Corp
NBN US Equity,NORTHEAST BANK,"839154887,39","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Northeast Bank
IONS US Equity,IONIS PHARMACEUTICALS INC,"6922361124,11","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Ionis Pharmaceuticals Inc
LECO US Equity,LINCOLN ELECTRIC HOLDINGS,"13139846938,03","20,00",Industrials,Industrial Products,Machinery,Metalworking Machinery,Welding & Solder Equipment,US,Lincoln Electric Holdings Inc
FWRG US Equity,FIRST WATCH RESTAURANT GROUP,"1052663499,75","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Restaurants,Full Service Restaurants,US,First Watch Restaurant Group I
PACH US Equity,PIONEER ACQUISITION I-CL A,"251988000,97",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Pioneer Acquisition I Corp
ODP US Equity,ODP CORP/THE,"618226690,80","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Other Spec Retail - Discr,Office Sply & Stationery Stores,US,ODP Corp/The
INNV US Equity,INNOVAGE HOLDING CORP,"476595716,70","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Facilities,Nursing & Residential Care,US,Innovage Holding Corp
AEHR US Equity,AEHR TEST SYSTEMS,"580053014,53","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Mfg,Back End Capital Equipment,US,Aehr Test Systems
ADSK US Equity,AUTODESK INC,"61986169738,77","45,00",Technology,Software & Tech Services,Software,Application Software,Engineering Software,US,Autodesk Inc
LMNR US Equity,LIMONEIRA CO,"282599619,76","30,00",Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,Food Crop Production,US,Limoneira Co
CBLL US Equity,CERIBELL INC,"446567141,43","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,#N/A N/A,US,Ceribell Inc
TGTX US Equity,TG THERAPEUTICS INC,"4399797375,86","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,TG Therapeutics Inc
CPRT US Equity,COPART INC,"45794099685,21","20,00",Consumer Discretionary,Retail & Whsle - Discretionary,Wholesale - Discretionary,Automotive Wholesalers,Automobiles Wholesalers,US,Copart Inc
PBYI US Equity,PUMA BIOTECHNOLOGY INC,"252105474,38","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Puma Biotechnology Inc
OLLI US Equity,OLLIE'S BARGAIN OUTLET HOLDI,"8208055385,06","25,00",Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,Mass Merchants,Discount Stores,US,Ollie's Bargain Outlet Holding
PFG US Equity,PRINCIPAL FINANCIAL GROUP,"17309107185,86","40,00",Financials,Insurance,Insurance,Life Insurance,#N/A N/A,US,Principal Financial Group Inc
DGICA US Equity,DONEGAL GROUP INC-CL A,"611780311,88","40,00",Financials,Insurance,Insurance,P&C Insurance,P&C Insurance Premiums,US,Donegal Group Inc
PRVA US Equity,PRIVIA HEALTH GROUP INC,"2622738600,25","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,#N/A N/A,US,Privia Health Group Inc
CMPX US Equity,COMPASS THERAPEUTICS INC,"492413049,63","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Compass Therapeutics Inc
APP US Equity,APPLOVIN CORP-CLASS A,"148336120175,88","45,00",Communications,Media,Entertainment Content,Video Games,Mobile & Online Games,US,AppLovin Corp
CTMX US Equity,CYTOMX THERAPEUTICS INC,"349615341,85","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,CytomX Therapeutics Inc
TRNS US Equity,TRANSCAT INC,"766401037,05","20,00",Industrials,Industrial Services,Industrial Support Services,Industrial Maintenance Svcs,Elec Precision Equip Maint,US,Transcat Inc
IQV US Equity,IQVIA HOLDINGS INC,"32731798858,64","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Contract Research,US,IQVIA Holdings Inc
AIP US Equity,ARTERIS INC,"406027229,36","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Intellectual Property - Semi,US,Arteris Inc
PAMT US Equity,PAMT CORP,"255088175,02","20,00",Industrials,Industrial Services,Transportation & Logistics,Trucking,Asset-Based Truckload,US,PAMT CORP
CLX US Equity,CLOROX COMPANY,"14613529195,30","30,00",Consumer Staples,Consumer Staple Products,Household Products,Home Products,#N/A N/A,US,Clorox Co/The
RSG US Equity,REPUBLIC SERVICES INC,"72568320755,86","20,00",Industrials,Industrial Services,Commercial Support Services,Waste Management,Solid Waste Collection & Treat,US,Republic Services Inc
HBT US Equity,HBT FINANCIAL INC/DE,"790850366,96","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,HBT Financial Inc
SANM US Equity,SANMINA CORP,"6256127469,63","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,EMS/ODM,#N/A N/A,US,Sanmina Corp
CNOB US Equity,CONNECTONE BANCORP INC,"1210505497,12","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,ConnectOne Bancorp Inc
PLMK US Equity,PLUM ACQUISITION CORP IV,"248974337,35",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Plum Acquisition Corp IV
SMTC US Equity,SEMTECH CORP,"4368166440,43","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Analog ICs,US,Semtech Corp
SDGR US Equity,SCHRODINGER INC,"1475799702,49","35,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,Schrodinger Inc/United States
CDNS US Equity,CADENCE DESIGN SYS INC,"97074562500,00","45,00",Technology,Software & Tech Services,Software,Application Software,Engineering Software,US,Cadence Design Systems Inc
COKE US Equity,COCA-COLA CONSOLIDATED INC,"10048355045,83","30,00",Consumer Staples,Consumer Staple Products,Beverages,Non-Alcoholic Beverages,#N/A N/A,US,Coca-Cola Consolidated Inc
IRMD US Equity,IRADIMED CORP,"891799340,22","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Equipment,#N/A N/A,US,iRadimed Corp
CCCS US Equity,CCC INTELLIGENT SOLUTIONS HO,"6317451528,15","45,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,CCC Intelligent Solutions Hold
CFFI US Equity,C & F FINANCIAL CORP,"218455782,50","40,00",Financials,Banking,Banking,Banks,Retail Banking,US,C&F Financial Corp
GABC US Equity,GERMAN AMERICAN BANCORP,"1494092924,34","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,German American Bancorp Inc
ANNX US Equity,ANNEXON INC,"258233553,57","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Annexon Inc
CVCO US Equity,CAVCO INDUSTRIES INC,"3832378667,74","25,00",Consumer Discretionary,Consumer Discretionary Products,Home Construction,Homebuilding,Manufactured Home (Mobile),US,Cavco Industries Inc
CAI US Equity,CARIS LIFE SCIENCES INC,"10110007472,36","35,00",Health Care,Health Care,Medical Equipment & Devices,Life Science & Diagnostics,#N/A N/A,US,Caris Life Sciences Inc
ARE US Equity,ALEXANDRIA REAL ESTATE EQUIT,"13354160216,73","60,00",Real Estate,Real Estate,REIT,Health Care REIT,#N/A N/A,US,Alexandria Real Estate Equitie
QUBT US Equity,QUANTUM COMPUTING INC,"2541343330,55","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,Quantum Computing Inc
PATK US Equity,PATRICK INDUSTRIES INC,"3667975709,34","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Home Products Stores,Building Materials Dealers,US,Patrick Industries Inc
BR US Equity,BROADRIDGE FINANCIAL SOLUTIO,"30460650673,24","20,00",Financials,Financial Services,Specialty Finance,Other Financial Services,#N/A N/A,US,Broadridge Financial Solutions
MVBF US Equity,MVB FINANCIAL CORP,"291801969,97","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,MVB Financial Corp
BBY US Equity,BEST BUY CO INC,"15174693274,18","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Electronics & Appliances Stores,#N/A N/A,US,Best Buy Co Inc
HOOD US Equity,ROBINHOOD MARKETS INC - A,"102215406213,64","40,00",Financials,Financial Services,Asset Management,Wealth Management,Retail Securities Brokerage,US,Robinhood Markets Inc
CHMG US Equity,CHEMUNG FINANCIAL CORP,"240840505,72","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Chemung Financial Corp
FSTR US Equity,FOSTER (LB) CO-A,"244700502,09","20,00",Industrials,Industrial Products,Industrial Intermediate Prod,Fabricated Metal & Hardware,Fabricated Metal,US,L B Foster Co
PACB US Equity,PACIFIC BIOSCIENCES OF CALIF,"399492925,52","35,00",Health Care,Health Care,Medical Equipment & Devices,Life Science & Diagnostics,Life Science Equipment,US,Pacific Biosciences of Califor
SENEB US Equity,SENECA FOODS CORP - CL B,"721499870,88","30,00",Consumer Staples,Consumer Staple Products,Food,Packaged Food,"Frozen, Canned & Perish Food",US,Seneca Foods Corp
HUMA US Equity,HUMACYTE INC,"285069903,85","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Humacyte Inc
AMGN US Equity,AMGEN INC,"157535442210,90","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Amgen Inc
AVAH US Equity,AVEANNA HEALTHCARE HOLDINGS,"1470630457,95","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Outpatient Health Services,US,Aveanna Healthcare Holdings In
ANDE US Equity,ANDERSONS INC/THE,"1301365853,64","30,00",Consumer Staples,Retail & Wholesale - Staples,Wholesale - Consumer Staples,Agricultural Products Whslrs,Grain & Field Bean Whslrs,US,Andersons Inc/The
AKBA US Equity,AKEBIA THERAPEUTICS INC,"824601040,37","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,US,Akebia Therapeutics Inc
CRUS US Equity,CIRRUS LOGIC INC,"5800022682,56","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Analog ICs,US,Cirrus Logic Inc
CTAS US Equity,CINTAS CORP,"86350109491,36","20,00",Industrials,Industrial Services,Commercial Support Services,Other Commercial Support Svcs,Uniform Rental,US,Cintas Corp
DVA US Equity,DAVITA INC,"9527375000,00","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Facilities,Specialty Facilities,US,DaVita Inc
BMBL US Equity,BUMBLE INC-A,"1036719857,38","50,00",Communications,Media,Internet Media & Services,Internet Media & Services,Dating Services Web,US,Bumble Inc
CNTA US Equity,CENTESSA PHARMACEUTICALS-ADR,"2358351759,70","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,US,Centessa Pharmaceuticals PLC
FSLR US Equity,FIRST SOLAR INC,"23522627490,21","45,00",Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment,Solar Energy Equipment,US,First Solar Inc
TRIP US Equity,TRIPADVISOR INC,"2155769536,27","50,00",Communications,Media,Internet Media & Services,Internet Media & Services,Travel Info & Booking Web,US,TripAdvisor Inc
NFE US Equity,NEW FORTRESS ENERGY INC,"619688146,35","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Midstream - Oil & Gas,#N/A N/A,US,New Fortress Energy Inc
MCBS US Equity,METROCITY BANKSHARES INC,"726548893,18","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Metrocity Bankshares Inc
TFC US Equity,TRUIST FINANCIAL CORP,"57160663314,14","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Truist Financial Corp
PCYO US Equity,PURE CYCLE CORP,"242428244,00","55,00",Utilities,Utilities,Gas & Water Utilities,Water Utilities,#N/A N/A,US,Pure Cycle Corp
FRBA US Equity,FIRST BANK/HAMILTON NJ,"400176002,88","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,First Bank/Hamilton NJ
ENVX US Equity,ENOVIX CORP,"1999422147,21","20,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Electronics Components,Electronics Batteries,US,Enovix Corp
PEG US Equity,PUBLIC SERVICE ENTERPRISE GP,"41982590277,24","55,00",Utilities,Utilities,Electric Utilities,Integrated Electric Utilities,#N/A N/A,US,Public Service Enterprise Grou
MOH US Equity,MOLINA HEALTHCARE INC,"9167929669,19","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Managed Care,Managed Care Govt Business,US,Molina Healthcare Inc
HAL US Equity,HALLIBURTON CO,"18186002770,61","10,00",Energy,Oil & Gas,Oil & Gas Services & Equip,Oilfield Services & Equipment,Onshore Oilfield Services,US,Halliburton Co
POWI US Equity,POWER INTEGRATIONS INC,"2594981529,17","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Analog ICs,US,Power Integrations Inc
MEDP US Equity,MEDPACE HOLDINGS INC,"13004542768,54","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Contract Research,US,Medpace Holdings Inc
AVT US Equity,AVNET INC,"4461918164,37","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Technology Distributors,#N/A N/A,US,Avnet Inc
UPB US Equity,UPSTREAM BIO INC,"971447899,22","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Upstream Bio Inc
RUN US Equity,SUNRUN INC,"3576354866,00","20,00",Energy,Renewable Energy,Renewable Energy,Renewable Energy Project Dev,#N/A N/A,US,Sunrun Inc
RIGL US Equity,RIGEL PHARMACEUTICALS INC,"718749208,33","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Rigel Pharmaceuticals Inc
EFX US Equity,EQUIFAX INC,"30407111871,12","20,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Info Services,US,Equifax Inc
PRDO US Equity,PERDOCEO EDUCATION CORP,"2070064243,24","25,00",Consumer Discretionary,Consumer Discretionary Services,Consumer Services,Educational Services,"College, University & Pro Schools",US,Perdoceo Education Corp
MAMA US Equity,MAMA'S CREATIONS INC,"306903020,66","30,00",Consumer Staples,Consumer Staple Products,Food,Packaged Food,"Frozen, Canned & Perish Food",US,Mama's Creations Inc
HONE US Equity,HARBORONE BANCORP INC,"523945370,26","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,HarborOne Bancorp Inc
VRNS US Equity,VARONIS SYSTEMS INC,"6553635593,48","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,Security Software,US,Varonis Systems Inc
INSE US Equity,INSPIRED ENTERTAINMENT INC,"226939873,80","25,00",Communications,Media,Entertainment Content,Video Games,#N/A N/A,US,Inspired Entertainment Inc
BETR US Equity,BETTER HOME & FINANCE HOLDIN,"266222610,09","40,00",Financials,Financial Services,Specialty Finance,Mortgage Finance,#N/A N/A,US,Better Home & Finance Holding
WDFC US Equity,WD-40 CO,"2961344748,80","30,00",Materials,Materials,Chemicals,Specialty Chemicals,Functional Additives,US,WD-40 Co
EWBC US Equity,EAST WEST BANCORP INC,"14078493607,20","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,East West Bancorp Inc
FHB US Equity,FIRST HAWAIIAN INC,"3060852480,64","40,00",Financials,Banking,Banking,Banks,Retail Banking,US,First Hawaiian Inc
BCML US Equity,BAYCOM CORP,"308158244,04","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,BayCom Corp
LFMD US Equity,LIFEMD INC,"308924309,06","35,00",Communications,Media,Internet Media & Services,Internet Media & Services,Medical & Health Web,US,LifeMD Inc
VALU US Equity,VALUE LINE INC,"360949269,66","40,00",Communications,Media,Publishing & Broadcasting,Publishing,Periodical Publishers,US,Value Line Inc
GYRE US Equity,GYRE THERAPEUTICS INC,"756058273,26","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,US,Gyre Therapeutics Inc
MLAC US Equity,MOUNTAIN LAKE ACQUISITION-A,"318602891,72",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Mountain Lake Acquisition Corp
PRU US Equity,PRUDENTIAL FINANCIAL INC,"37530240000,00","40,00",Financials,Insurance,Insurance,Life Insurance,#N/A N/A,US,Prudential Financial Inc
MTSR US Equity,METSERA INC,"3402748811,70","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Metsera Inc
POOL US Equity,POOL CORP,"11795475467,54","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Wholesale - Discretionary,Other Wholesalers,#N/A N/A,US,Pool Corp
PHLT US Equity,PERFORMANT HEALTHCARE INC,"601167363,19","35,00",Industrials,Industrial Services,Commercial Support Services,Other Commercial Support Svcs,#N/A N/A,US,Performant Healthcare Inc
PRGS US Equity,PROGRESS SOFTWARE CORP,"1964016348,52","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,US,Progress Software Corp
MIDD US Equity,MIDDLEBY CORP,"6625201559,79","20,00",Industrials,Industrial Products,Machinery,Other Machinery & Equipment,Food Product Machinery,US,Middleby Corp/The
NRIX US Equity,NURIX THERAPEUTICS INC,"780165661,94","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Nurix Therapeutics Inc
GL US Equity,GLOBE LIFE INC,"11015671305,61","40,00",Financials,Insurance,Insurance,Life Insurance,#N/A N/A,US,Globe Life Inc
HSY US Equity,HERSHEY CO/THE,"36166001216,27","30,00",Consumer Staples,Consumer Staple Products,Food,Packaged Food,Snack Food & Confectionery,US,Hershey Co/The
OFIX US Equity,ORTHOFIX MEDICAL INC,"573061794,19","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,Orthopedic Devices,US,Orthofix Medical Inc
MXL US Equity,MAXLINEAR INC,"1342781285,80","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Analog ICs,US,MaxLinear Inc
CACC US Equity,CREDIT ACCEPTANCE CORP,"5332944376,72","40,00",Financials,Financial Services,Specialty Finance,Consumer Finance,Auto Finance,US,Credit Acceptance Corp
IMAB US Equity,I-MAB-SPONSORED ADR,"585317828,39","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,I-Mab
RDNT US Equity,RADNET INC,"5098765820,40","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Health Care Testing Services,US,RadNet Inc
INTC US Equity,INTEL CORP,"103559819332,12","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,"Logic, Processors & App Specific",US,Intel Corp
ELVN US Equity,ENLIVEN THERAPEUTICS INC,"1169902053,25","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,#N/A N/A,US,Enliven Therapeutics Inc
CARL US Equity,CARLSMED INC,"349484499,41","35,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,Carlsmed Inc
AEP US Equity,AMERICAN ELECTRIC POWER,"59201778632,04","55,00",Utilities,Utilities,Electric Utilities,Integrated Electric Utilities,#N/A N/A,US,American Electric Power Co Inc
FRPH US Equity,FRP HOLDINGS INC,"489578591,12","60,00",Real Estate,Real Estate,Real Estate Owners & Developers,Multi Asset Class Own & Develop,#N/A N/A,US,FRP Holdings Inc
FA US Equity,FIRST ADVANTAGE CORP,"2849965226,78","20,00",Industrials,Industrial Services,Commercial Support Services,Professional Services,Mgmt & Admin Consulting Svcs,US,First Advantage Corp
SRE US Equity,SEMPRA,"52843743141,57","55,00",Utilities,Utilities,Electric Utilities,Electric Transmission & Dist,#N/A N/A,US,Sempra
VTR US Equity,VENTAS INC,"30545008398,24","60,00",Real Estate,Real Estate,REIT,Health Care REIT,#N/A N/A,US,Ventas Inc
NPAC US Equity,NEW PROVIDENCE ACQUISITION-A,"387747347,14",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,New Providence Acquisition Cor
AUR US Equity,AURORA INNOVATION INC,"11883939963,03","45,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Automotive Engineering & Tech,US,Aurora Innovation Inc
ADTN US Equity,ADTRAN HOLDINGS INC,"706860628,50","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Data Networking Equipment,US,ADTRAN Holdings Inc
BACC US Equity,BLUE ACQUISITION CORP-CL A,"278782772,58",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Blue Acquisition Corp
SOFI US Equity,SOFI TECHNOLOGIES INC,"29014215374,85","40,00",Financials,Financial Services,Specialty Finance,Consumer Finance,#N/A N/A,US,SoFi Technologies Inc
IBM US Equity,INTL BUSINESS MACHINES CORP,"223052279654,13","45,00",Technology,Software & Tech Services,IT Services,IT Services,IT Services - Commercial,US,International Business Machine
DAAQ US Equity,DIGITAL ASSET ACQUISITI-CL A,"235289989,47",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Digital Asset Acquisition Corp
GEVO US Equity,GEVO INC,"406289646,76","10,00",Energy,Renewable Energy,Renewable Energy,Biofuels,#N/A N/A,US,Gevo Inc
RMR US Equity,RMR GROUP INC/THE - A,"519475906,39","60,00",Real Estate,Real Estate,Real Estate Services,Real Estate Services,Property Management,US,RMR Group Inc/The
WALD US Equity,WALDENCAST PLC-A,"220897633,95","30,00",Consumer Staples,Consumer Staple Products,Household Products,Personal Care Products,Cosmetics,US,Waldencast plc
AAL US Equity,AMERICAN AIRLINES GROUP INC,"8689945622,91","20,00",Industrials,Industrial Services,Transportation & Logistics,Airlines,Full Service Airline,US,American Airlines Group Inc
PTGX US Equity,PROTAGONIST THERAPEUTICS INC,"3496898127,82","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,US,Protagonist Therapeutics Inc
MSFT US Equity,MICROSOFT CORP,"3843690153107,11","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,#N/A N/A,US,Microsoft Corp
OPEN US Equity,OPENDOOR TECHNOLOGIES INC,"2781906802,02","60,00",Communications,Media,Internet Media & Services,Internet Media & Services,Real Estate & Property Web,US,Opendoor Technologies Inc
STEP US Equity,STEPSTONE GROUP INC-CLASS A,"7033842115,01","40,00",Financials,Financial Services,Asset Management,Investment Management,#N/A N/A,US,StepStone Group Inc
SOUN US Equity,SOUNDHOUND AI INC-A,"6041910811,94","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,SoundHound AI Inc
SFM US Equity,SPROUTS FARMERS MARKET INC,"14132181358,74","30,00",Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,Food & Drug Stores,Supermarkets,US,Sprouts Farmers Market Inc
HOPE US Equity,HOPE BANCORP INC,"1327942259,23","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Hope Bancorp Inc
HPE US Equity,HEWLETT PACKARD ENTERPRISE,"28383222759,34","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Computer Hardware & Storage,Servers,US,Hewlett Packard Enterprise Co
ABUS US Equity,ARBUTUS BIOPHARMA CORP,"647941611,04","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Arbutus Biopharma Corp
SBGI US Equity,SINCLAIR INC,"958341002,18","50,00",Communications,Media,Publishing & Broadcasting,Local TV & Radio Broadcast,Local TV Broadcasting,US,Sinclair Inc
CCOI US Equity,COGENT COMMUNICATIONS HOLDIN,"1814842037,15","50,00",Communications,Telecommunications,Telecommunications,Wireline Telecommunications,Wireline Internet Services,US,Cogent Communications Holdings
